,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,embed-english-v3.0,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.7742908596992493,0.7777512073516846,0.7682293057441711,0.753883957862854,0.7387035489082336,0.7275204062461853,0.7237880229949951,0.7701336145401001,0.7741004228591919,0.7921347618103027,0.7621870636940002,0.7101696133613586,0.7439808249473572,0.7878022789955139,0.7468881011009216,0.7525432109832764,0.8714156150817871,0.8382990956306458
UAE-Large-V1,0.7742908596992493,1.0,0.861794650554657,0.9825138449668884,0.8366872072219849,0.7526525259017944,0.7257439494132996,0.7257837057113647,0.7653852701187134,0.8601644039154053,0.9180696606636047,0.840374231338501,0.6760783791542053,0.6902139186859131,0.9934884309768677,0.7600204348564148,0.7376411557197571,0.8023236989974976,0.8087567687034607
bge-base-en-v1.5,0.7777512073516846,0.861794650554657,1.0,0.8490415215492249,0.8734836578369141,0.760484516620636,0.7036699056625366,0.7341204881668091,0.767356812953949,0.9409802556037903,0.8913815021514893,0.8787664771080017,0.6879131197929382,0.6936832666397095,0.8803671598434448,0.7796840071678162,0.7478838562965393,0.8021473288536072,0.8159623146057129
bge-large-en-v1.5,0.7682293057441711,0.9825138449668884,0.8490415215492249,1.0,0.8226076364517212,0.759814441204071,0.7346152663230896,0.7319785356521606,0.7693320512771606,0.8293554782867432,0.8877521753311157,0.8156129717826843,0.6741036772727966,0.6915162801742554,0.9723379015922546,0.7489311695098877,0.7298946976661682,0.7936388254165649,0.7981866598129272
bge-small-en-v1.5,0.753883957862854,0.8366872072219849,0.8734836578369141,0.8226076364517212,1.0,0.7122291326522827,0.665992259979248,0.724581778049469,0.7300315499305725,0.8910508155822754,0.8934929966926575,0.9611613154411316,0.6582631468772888,0.6599787473678589,0.863868236541748,0.7589032649993896,0.7252490520477295,0.7716431021690369,0.7847539186477661
e5-base-v2,0.7387035489082336,0.7526525259017944,0.760484516620636,0.759814441204071,0.7122291326522827,1.0,0.8115576505661011,0.8021777272224426,0.7875227928161621,0.7317492961883545,0.7321995496749878,0.7066492438316345,0.6654511094093323,0.6868941187858582,0.7558663487434387,0.7165740132331848,0.7013086676597595,0.756454586982727,0.7644659876823425
e5-large-v2,0.7275204062461853,0.7257439494132996,0.7036699056625366,0.7346152663230896,0.665992259979248,0.8115576505661011,1.0,0.7780635952949524,0.8857207298278809,0.6785410046577454,0.6957666277885437,0.6607284545898438,0.6421744227409363,0.6741927266120911,0.724841833114624,0.6930103898048401,0.6903451681137085,0.7461273074150085,0.7447959780693054
e5-small-v2,0.7237880229949951,0.7257837057113647,0.7341204881668091,0.7319785356521606,0.724581778049469,0.8021777272224426,0.7780635952949524,1.0,0.7624613642692566,0.713032066822052,0.7200989723205566,0.717048704624176,0.6524114012718201,0.671259880065918,0.7325407862663269,0.7085082530975342,0.6875344514846802,0.7358014583587646,0.7477269768714905
embed-english-v3.0,0.7701336145401001,0.7653852701187134,0.767356812953949,0.7693320512771606,0.7300315499305725,0.7875227928161621,0.8857207298278809,0.7624613642692566,1.0,0.7442996501922607,0.7598464488983154,0.7257198691368103,0.7125310301780701,0.748450517654419,0.7718254327774048,0.7641893029212952,0.7593674063682556,0.8073700666427612,0.8169004321098328
gte-base,0.7741004228591919,0.8601644039154053,0.9409802556037903,0.8293554782867432,0.8910508155822754,0.7317492961883545,0.6785410046577454,0.713032066822052,0.7442996501922607,1.0,0.9292124509811401,0.9223482608795166,0.670371413230896,0.6722657084465027,0.885251522064209,0.778751015663147,0.7444045543670654,0.7981142401695251,0.8132320046424866
