,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,embed-english-v3.0,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.34416343677895767,0.3535694747587991,0.335390641489364,0.356406439520923,0.34732109546685963,0.3418707354948005,0.3252539512214312,0.37094098071585835,0.3611208386331208,0.39273666608162905,0.3633398047982594,0.3344118559568073,0.34626810263479724,0.36341006113699786,0.3438580008269031,0.34391761930431547,0.4752959255728908,0.4388737925954204
UAE-Large-V1,0.34416343677895767,1.0,0.42311351805624187,0.8000134471811875,0.42164939952869446,0.3153054729458352,0.28412210735329585,0.2935718508163277,0.35714779448776796,0.41793673991763797,0.4854374137573441,0.41012635189032404,0.29615260000659815,0.2891095162592218,0.8630573512290227,0.3040646892642673,0.28608828825239196,0.3896642814533665,0.3902250584830215
bge-base-en-v1.5,0.3535694747587991,0.42311351805624187,1.0,0.40791253989558895,0.4763515623167382,0.37006526171352794,0.32506380526018946,0.335976595495547,0.3713307667402887,0.5803302570245833,0.49423159976851944,0.4857204232166304,0.33718166128558386,0.32507777602267646,0.45252912525630334,0.3904368291727016,0.3538816851250574,0.42819042528985163,0.4316067083852815
bge-large-en-v1.5,0.335390641489364,0.8000134471811875,0.40791253989558895,1.0,0.4020761876052076,0.3118718162417576,0.2799768669165583,0.28850762158632953,0.3555554174104425,0.38547099431285176,0.44341249691631424,0.38146211605083,0.2900326355959113,0.28750925618740264,0.7424569234005746,0.298603899117963,0.2824017807278007,0.37695113006878445,0.3745612650025628
bge-small-en-v1.5,0.356406439520923,0.42164939952869446,0.4763515623167382,0.4020761876052076,1.0,0.354538126156731,0.3146891654679275,0.34807323443736155,0.3592294655690081,0.526588182067073,0.5133313443503834,0.6641181016524229,0.33493101964505373,0.31702046029875297,0.45552928985050395,0.38253677097669825,0.34544309703513043,0.4133622232166858,0.42145771753629063
e5-base-v2,0.34732109546685963,0.3153054729458352,0.37006526171352794,0.3118718162417576,0.354538126156731,1.0,0.422413775797067,0.4104397831664561,0.3716301764420884,0.3697878516931602,0.3668430381140799,0.35263114723779054,0.3241073978523898,0.32169849591674793,0.334933146593001,0.34444931030398857,0.3233837839312868,0.3839312901431743,0.3929544044478711
e5-large-v2,0.3418707354948005,0.28412210735329585,0.32506380526018946,0.2799768669165583,0.3146891654679275,0.422413775797067,1.0,0.3958463877394571,0.420276591217967,0.32546023434124416,0.34163305541963973,0.31476848756401365,0.3085887275818216,0.320942548746234,0.30037457921698907,0.32790635739164364,0.32059545689818364,0.37907994553689506,0.37840984422027263
e5-small-v2,0.3252539512214312,0.2935718508163277,0.335976595495547,0.28850762158632953,0.34807323443736155,0.4104397831664561,0.3958463877394571,1.0,0.3380445146336899,0.3309190152959197,0.3396988417717632,0.3437817934372795,0.31346324411249515,0.3117116165447701,0.30948535598920374,0.3283070124487676,0.3088103669014259,0.36259651996119835,0.36984340517558223
embed-english-v3.0,0.37094098071585835,0.35714779448776796,0.3713307667402887,0.3555554174104425,0.3592294655690081,0.3716301764420884,0.420276591217967,0.3380445146336899,1.0,0.3669808493489232,0.38334544644197716,0.36063380454903454,0.3164324929855396,0.3314798856207748,0.37345294508410676,0.33536357524940824,0.3326519709335897,0.4174699976014974,0.430072004979781
gte-base,0.3611208386331208,0.41793673991763797,0.5803302570245833,0.38547099431285176,0.526588182067073,0.3697878516931602,0.32546023434124416,0.3309190152959197,0.3669808493489232,1.0,0.6000384438225771,0.5991559392725108,0.33781681748870407,0.31493963948677556,0.4569526115760143,0.39742912489715837,0.36356234392642994,0.42914965834471774,0.43845176629642596
gte-large,0.39273666608162905,0.4854374137573441,0.49423159976851944,0.44341249691631424,0.5133313443503834,0.3668430381140799,0.34163305541963973,0.3396988417717632,0.38334544644197716,0.6000384438225771,1.0,0.5778835004227683,0.3514635275137064,0.34055581027687326,0.5384378182366671,0.41326995532537625,0.39295144529319337,0.4648983171047487,0.45483568222170023
