,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,embed-english-v3.0,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.42738202103285133,0.4418040330976239,0.42912213385637415,0.4388053970530759,0.4798552238272228,0.4927076894841798,0.49360918490926553,0.45895467560542014,0.43964408065382193,0.44486208381819553,0.4401718886986693,0.4934805273028703,0.4830922501867477,0.4358301775734884,0.48933147291507256,0.49204127744050424,0.5042212511663594,0.5023310375715327
UAE-Large-V1,0.42738202103285133,1.0,0.47650668337188373,0.6057710343744472,0.44104188867470645,0.447045892083977,0.4444959371201037,0.4514918919568236,0.44578393970136043,0.46908412411534184,0.499201623000106,0.4539829666509228,0.4452973001369168,0.45087384819720816,0.7126233483341459,0.446671337475747,0.43908060168056273,0.466721431525131,0.4413171253070158
bge-base-en-v1.5,0.4418040330976239,0.47650668337188373,1.0,0.4858669508888944,0.4953410164346161,0.49501686059667094,0.484262686917869,0.4687934042858479,0.4722974803769512,0.491789535845416,0.4620795273624158,0.45464221829789986,0.46901250719439197,0.47194488795081596,0.48751704952223684,0.4766075453697426,0.45968547813653926,0.4974638464843174,0.47720738323718154
bge-large-en-v1.5,0.42912213385637415,0.6057710343744472,0.4858669508888944,1.0,0.45143257729861647,0.44665727489842993,0.45678862191372516,0.45155771216488033,0.4539188650423159,0.4546012835401561,0.4617676323019536,0.4545801768137859,0.45208573631249815,0.46242537957102714,0.596198643578523,0.44733811915676713,0.43893228324549116,0.4690729929192527,0.44983434383187254
bge-small-en-v1.5,0.4388053970530759,0.44104188867470645,0.4953410164346161,0.45143257729861647,1.0,0.47012194736592305,0.4577287592246648,0.47129301237071836,0.47289266133952657,0.45026308423098904,0.4674247630038345,0.5301825199515087,0.45124265833278576,0.4470348376971984,0.45320398245998766,0.46684085791089325,0.44965384023790156,0.45865826490015066,0.46950585461985234
e5-base-v2,0.4798552238272228,0.447045892083977,0.49501686059667094,0.44665727489842993,0.47012194736592305,1.0,0.5256748004371498,0.5037547411220512,0.5014808958655284,0.4718790345346834,0.44018315475022624,0.4602646245826548,0.48205620036579844,0.47660836007253143,0.4548069246362392,0.4870938548900348,0.4749688268596508,0.5062783750780837,0.5100554349510653
e5-large-v2,0.4927076894841798,0.4444959371201037,0.484262686917869,0.45678862191372516,0.4577287592246648,0.5256748004371498,1.0,0.505870839693172,0.499536293185361,0.4621985750350093,0.43568495720508144,0.43489695927666233,0.48134744225024184,0.48405340792446766,0.44117254479172935,0.4717500942046442,0.45476542439465995,0.5029475114030251,0.4930444798449633
e5-small-v2,0.49360918490926553,0.4514918919568236,0.4687934042858479,0.45155771216488033,0.47129301237071836,0.5037547411220512,0.505870839693172,1.0,0.48468918460932814,0.4436421521871543,0.4518605554695746,0.44095338164738057,0.4668950189442075,0.4791743460844615,0.45424376627562346,0.506931320105207,0.4915826771157703,0.49076646306140304,0.49300719278860505
embed-english-v3.0,0.45895467560542014,0.44578393970136043,0.4722974803769512,0.4539188650423159,0.47289266133952657,0.5014808958655284,0.499536293185361,0.48468918460932814,1.0,0.4482466222769439,0.4249910589032276,0.45653000282081374,0.4789632687734661,0.45769927876490546,0.4591246589460003,0.45405693459714647,0.44997754368622156,0.47889906401138305,0.4661511279686475
gte-base,0.43964408065382193,0.46908412411534184,0.491789535845416,0.4546012835401561,0.45026308423098904,0.4718790345346834,0.4621985750350093,0.4436421521871543,0.4482466222769439,1.0,0.4765060205544873,0.47178515482727995,0.461354671125271,0.4576637558958293,0.4597425747288568,0.4766451061223702,0.442859751708584,0.47603951767271196,0.46821692072565796
