,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.7778438329696655,0.8022300004959106,0.7886545658111572,0.7835091948509216,0.7996180057525635,0.7943056225776672,0.7709567546844482,0.7906681299209595,0.7984652519226074,0.7740350961685181,0.6737640500068665,0.7131330966949463,0.7975694537162781,0.7197032570838928,0.7422427535057068,0.8789957165718079,0.852985680103302
UAE-Large-V1,0.7778438329696655,1.0,0.8708629012107849,0.9896819591522217,0.8524369597434998,0.7840228080749512,0.7802730202674866,0.7624791264533997,0.8121302723884583,0.872381329536438,0.7968097925186157,0.6576137542724609,0.7014681100845337,0.9917640089988708,0.691878616809845,0.7062587141990662,0.7957046031951904,0.7922523617744446
bge-base-en-v1.5,0.8022300004959106,0.8708629012107849,1.0,0.8721529841423035,0.8850526809692383,0.8248164653778076,0.8014473915100098,0.7954435348510742,0.9166687726974487,0.8751536011695862,0.8494007587432861,0.6719045042991638,0.7109852433204651,0.8872527480125427,0.7248234152793884,0.7299625277519226,0.8278359770774841,0.8282420635223389
bge-large-en-v1.5,0.7886545658111572,0.9896819591522217,0.8721529841423035,1.0,0.8604232668876648,0.8006423115730286,0.7952646613121033,0.7764483690261841,0.8090528845787048,0.8692619204521179,0.7983658909797668,0.6681560277938843,0.7116650938987732,0.9842219948768616,0.7066145539283752,0.7210867404937744,0.8024411797523499,0.8003759980201721
bge-small-en-v1.5,0.7835091948509216,0.8524369597434998,0.8850526809692383,0.8604232668876648,1.0,0.7955943942070007,0.773754894733429,0.8033034801483154,0.8498974442481995,0.8600340485572815,0.9063181281089783,0.6716932654380798,0.7054076790809631,0.8742423057556152,0.7319156527519226,0.7285952568054199,0.7955368757247925,0.8046520352363586
e5-base-v2,0.7996180057525635,0.7840228080749512,0.8248164653778076,0.8006423115730286,0.7955943942070007,1.0,0.8474602699279785,0.8428654074668884,0.7907534837722778,0.7915762066841125,0.7704567313194275,0.6690117716789246,0.7043924927711487,0.8006349205970764,0.7390083074569702,0.7478585839271545,0.8083289861679077,0.8187907338142395
e5-large-v2,0.7943056225776672,0.7802730202674866,0.8014473915100098,0.7952646613121033,0.773754894733429,0.8474602699279785,1.0,0.8206171989440918,0.7757560610771179,0.7945992946624756,0.7562124133110046,0.6432291865348816,0.6842437982559204,0.7935633063316345,0.7148723602294922,0.7370932698249817,0.8222385048866272,0.8174585103988647
e5-small-v2,0.7709567546844482,0.7624791264533997,0.7954435348510742,0.7764483690261841,0.8033034801483154,0.8428654074668884,0.8206171989440918,1.0,0.7634334564208984,0.7740487456321716,0.7692978978157043,0.6549839973449707,0.6879965662956238,0.7783504724502563,0.723471999168396,0.7279111742973328,0.7849515676498413,0.7932270169258118
gte-base,0.7906681299209595,0.8121302723884583,0.9166687726974487,0.8090528845787048,0.8498974442481995,0.7907534837722778,0.7757560610771179,0.7634334564208984,1.0,0.9201975464820862,0.9128875732421875,0.605575442314148,0.6387569904327393,0.8460983037948608,0.7165643572807312,0.715954065322876,0.8223969340324402,0.81935054063797
gte-large,0.7984652519226074,0.872381329536438,0.8751536011695862,0.8692619204521179,0.8600340485572815,0.7915762066841125,0.7945992946624756,0.7740487456321716,0.9201975464820862,1.0,0.9133267998695374,0.6182305812835693,0.657593846321106,0.903614342212677,0.7313631176948547,0.7337223887443542,0.8395166993141174,0.8322771787643433
gte-small,0.7740350961685181,0.7968097925186157,0.8494007587432861,0.7983658909797668,0.9063181281089783,0.7704567313194275,0.7562124133110046,0.7692978978157043,0.9128875732421875,0.9133267998695374,1.0,0.6036399602890015,0.6335209608078003,0.8347998857498169,0.7306609153747559,0.722001314163208,0.802767813205719,0.8082769513130188
gtr-t5-base,0.6737640500068665,0.6576137542724609,0.6719045042991638,0.6681560277938843,0.6716932654380798,0.6690117716789246,0.6432291865348816,0.6549839973449707,0.605575442314148,0.6182305812835693,0.6036399602890015,1.0,0.8261922001838684,0.6650357246398926,0.6981457471847534,0.6653041243553162,0.6693398356437683,0.6999174356460571
gtr-t5-large,0.7131330966949463,0.7014681100845337,0.7109852433204651,0.7116650938987732,0.7054076790809631,0.7043924927711487,0.6842437982559204,0.6879965662956238,0.6387569904327393,0.657593846321106,0.6335209608078003,0.8261922001838684,1.0,0.708347499370575,0.6865038871765137,0.7268700003623962,0.7116057276725769,0.7369173765182495
mxbai-embed-large-v1,0.7975694537162781,0.9917640089988708,0.8872527480125427,0.9842219948768616,0.8742423057556152,0.8006349205970764,0.7935633063316345,0.7783504724502563,0.8460983037948608,0.903614342212677,0.8347998857498169,0.6650357246398926,0.708347499370575,1.0,0.713754415512085,0.7268549799919128,0.8163294196128845,0.8140671253204346
sentence-t5-base,0.7197032570838928,0.691878616809845,0.7248234152793884,0.7066145539283752,0.7319156527519226,0.7390083074569702,0.7148723602294922,0.723471999168396,0.7165643572807312,0.7313631176948547,0.7306609153747559,0.6981457471847534,0.6865038871765137,0.713754415512085,1.0,0.8728285431861877,0.7398108243942261,0.7632147669792175
sentence-t5-large,0.7422427535057068,0.7062587141990662,0.7299625277519226,0.7210867404937744,0.7285952568054199,0.7478585839271545,0.7370932698249817,0.7279111742973328,0.715954065322876,0.7337223887443542,0.722001314163208,0.6653041243553162,0.7268700003623962,0.7268549799919128,0.8728285431861877,1.0,0.7617518901824951,0.7771856188774109
