,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.12400169491371862,0.16350227450673846,0.15054017822231755,0.09842295047168166,0.1682777755822976,0.06442178154846935,0.047136895190483946,0.16814457357073373,0.11219332355109059,0.13723531252047338,0.11822594065476558,0.13903772184768426,0.1454686506851903,0.08039432260312691,0.0949257477212005,0.29953494729786473,0.2775243085855345
UAE-Large-V1,0.12400169491371862,1.0,0.2228005015309412,0.5507369859662979,0.21554978892969953,0.1339656740776953,0.07802036000210014,0.06193079774263433,0.17100652675608605,0.22248338788412853,0.17154417774788702,0.12469567072146147,0.1465641737756812,0.7019905372915213,0.10202333175745332,0.09914781173791874,0.12390637756182318,0.13990173342945458
bge-base-en-v1.5,0.16350227450673846,0.2228005015309412,1.0,0.22374581845443245,0.1956090501651494,0.18680623384042971,0.09772059876266544,0.07736843945774691,0.29556398648751214,0.21919040238909912,0.19941130869480747,0.1309976894536306,0.1553597445263304,0.2526019230423557,0.10563234864949096,0.11095583243235818,0.1765692724814681,0.21070244161820426
bge-large-en-v1.5,0.15054017822231755,0.5507369859662979,0.22374581845443245,1.0,0.1910089517139327,0.12807994508893755,0.06394693930824427,0.04910187341088182,0.15972610587750638,0.18274902478382832,0.1572946434575738,0.1398248148595839,0.15507818277312466,0.5509480784330932,0.09970636566223336,0.10366014387996642,0.13373020008234707,0.16127749988530699
bge-small-en-v1.5,0.09842295047168166,0.21554978892969953,0.1956090501651494,0.1910089517139327,1.0,0.11868709346054535,0.08372642481871165,0.06882930475880268,0.1303635515071751,0.16110652047589732,0.19405917902183464,0.1026399952691367,0.10823151904895928,0.21459910156325268,0.08172013029869117,0.07523527595531782,0.09779904555928684,0.11506719380054489
e5-base-v2,0.1682777755822976,0.1339656740776953,0.18680623384042971,0.12807994508893755,0.11868709346054535,1.0,0.18443896984622607,0.13479210052046778,0.17582120004016352,0.12920689912560884,0.14078713290942826,0.10973743854769336,0.13325931756051682,0.14452822362568007,0.08961657847033187,0.08557615754236927,0.1687965759338352,0.18777235519700697
e5-large-v2,0.06442178154846935,0.07802036000210014,0.09772059876266544,0.06394693930824427,0.08372642481871165,0.18443896984622607,1.0,0.23800714549817592,0.08050360941939301,0.09733093992730676,0.08343396686614318,0.04989542809775207,0.05803448013204491,0.07935065047860736,0.05864402467219434,0.05193652475154804,0.0801289948664767,0.07764293347061436
e5-small-v2,0.047136895190483946,0.06193079774263433,0.07736843945774691,0.04910187341088182,0.06882930475880268,0.13479210052046778,0.23800714549817592,1.0,0.06509089991522653,0.063338773840817,0.06617987590089058,0.047500178121652796,0.04930359725421852,0.06159636609478337,0.04636317415524034,0.04043088620406991,0.05497930735565519,0.06166809055489624
gte-base,0.16814457357073373,0.17100652675608605,0.29556398648751214,0.15972610587750638,0.1303635515071751,0.17582120004016352,0.08050360941939301,0.06509089991522653,1.0,0.2732506809974327,0.26034179742769664,0.1039786357915615,0.12407465170385404,0.2008505019935199,0.09256079331026607,0.08970858033026613,0.21120565476552813,0.2343926787140341
gte-large,0.11219332355109059,0.22248338788412853,0.21919040238909912,0.18274902478382832,0.16110652047589732,0.12920689912560884,0.09733093992730676,0.063338773840817,0.2732506809974327,1.0,0.2914904370577896,0.09168227483424315,0.1018558123637898,0.24956922573204865,0.10109789966371437,0.0884893421432679,0.1587208013217553,0.1607918574362173
gte-small,0.13723531252047338,0.17154417774788702,0.19941130869480747,0.1572946434575738,0.19405917902183464,0.14078713290942826,0.08343396686614318,0.06617987590089058,0.26034179742769664,0.2914904370577896,1.0,0.09869018959044938,0.11726782717889302,0.19275255578558378,0.10422068143377375,0.1000741587418636,0.1675307763268609,0.18103466562306753
gtr-t5-base,0.11822594065476558,0.12469567072146147,0.1309976894536306,0.1398248148595839,0.1026399952691367,0.10973743854769336,0.04989542809775207,0.047500178121652796,0.1039786357915615,0.09168227483424315,0.09869018959044938,1.0,0.277543477947651,0.14244926737276636,0.10641413912965467,0.09629979598076627,0.10991613162928408,0.13842674114760123
gtr-t5-large,0.13903772184768426,0.1465641737756812,0.1553597445263304,0.15507818277312466,0.10823151904895928,0.13325931756051682,0.05803448013204491,0.04930359725421852,0.12407465170385404,0.1018558123637898,0.11726782717889302,0.277543477947651,1.0,0.1684503468212716,0.10861128542608528,0.12433698504016095,0.12732071270998715,0.15797762278254893
mxbai-embed-large-v1,0.1454686506851903,0.7019905372915213,0.2526019230423557,0.5509480784330932,0.21459910156325268,0.14452822362568007,0.07935065047860736,0.06159636609478337,0.2008505019935199,0.24956922573204865,0.19275255578558378,0.14244926737276636,0.1684503468212716,1.0,0.11330401306270688,0.11090171800164969,0.15165937549797512,0.16374949952185705
sentence-t5-base,0.08039432260312691,0.10202333175745332,0.10563234864949096,0.09970636566223336,0.08172013029869117,0.08961657847033187,0.05864402467219434,0.04636317415524034,0.09256079331026607,0.10109789966371437,0.10422068143377375,0.10641413912965467,0.10861128542608528,0.11330401306270688,1.0,0.23128221850063896,0.08529774975826067,0.09962979466479177
sentence-t5-large,0.0949257477212005,0.09914781173791874,0.11095583243235818,0.10366014387996642,0.07523527595531782,0.08557615754236927,0.05193652475154804,0.04043088620406991,0.08970858033026613,0.0884893421432679,0.1000741587418636,0.09629979598076627,0.12433698504016095,0.11090171800164969,0.23128221850063896,1.0,0.09440278867664986,0.113117190434482
text-embedding-3-large,0.29953494729786473,0.12390637756182318,0.1765692724814681,0.13373020008234707,0.09779904555928684,0.1687965759338352,0.0801289948664767,0.05497930735565519,0.21120565476552813,0.1587208013217553,0.1675307763268609,0.10991613162928408,0.12732071270998715,0.15165937549797512,0.08529774975826067,0.09440278867664986,1.0,0.3578185956171038
text-embedding-3-small,0.2775243085855345,0.13990173342945458,0.21070244161820426,0.16127749988530699,0.11506719380054489,0.18777235519700697,0.07764293347061436,0.06166809055489624,0.2343926787140341,0.1607918574362173,0.18103466562306753,0.13842674114760123,0.15797762278254893,0.16374949952185705,0.09962979466479177,0.113117190434482,0.3578185956171038,1.0
