,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.1275055315055315,0.15029148629148628,0.1514882154882155,0.11294276094276094,0.20713708513708515,0.16474074074074074,0.14901587301587302,0.13527272727272727,0.11166137566137566,0.12363251563251562,0.25376046176046174,0.201027417027417,0.136994708994709,0.20444444444444443,0.18885714285714286,0.21838226070226072,0.2901645021645022
UAE-Large-V1,0.1275055315055315,1.0,0.39133379509379507,0.5987299177383849,0.32966453551855013,0.1852140452140452,0.09828317460317462,0.10871572871572871,0.1226868686868687,0.35084743156276005,0.21074062530062532,0.18078633958633958,0.23514285714285713,0.7592922526621797,0.17214410774410774,0.22326599326599328,0.20377585377585375,0.2394093314093314
bge-base-en-v1.5,0.15029148629148628,0.39133379509379507,1.0,0.3153650793650794,0.2836305916305916,0.14482162578162577,0.09043724867724869,0.08093121693121691,0.3285738528138528,0.29414654574946547,0.19630591630591632,0.11164213564213565,0.18490909090909088,0.36702491582491575,0.21190818662818664,0.1664085274012281,0.14304761904761903,0.15726118326118327
bge-large-en-v1.5,0.1514882154882155,0.5987299177383849,0.3153650793650794,1.0,0.3169004713804714,0.18213949013949013,0.09037229437229438,0.09995959595959596,0.1652861952861953,0.2446460798460798,0.1501144781144781,0.21152900432900432,0.25595382395382393,0.5354507055961071,0.15466089466089467,0.18203751803751803,0.1622972582972583,0.2207080327080327
bge-small-en-v1.5,0.11294276094276094,0.32966453551855013,0.2836305916305916,0.3169004713804714,1.0,0.1015007215007215,0.11638476190476191,0.10596825396825399,0.16565079365079363,0.24990822370384413,0.30574122174122176,0.19098243386243383,0.13933190957190958,0.33618855218855215,0.1538816738816739,0.10846753246753246,0.17116017316017318,0.16232804232804235
e5-base-v2,0.20713708513708515,0.1852140452140452,0.14482162578162577,0.18213949013949013,0.1015007215007215,1.0,0.504235113035113,0.35528138528138525,0.19337854737854734,0.11696007696007696,0.16794582010582013,0.15149687349687346,0.18835978835978837,0.21059617123617122,0.11648677248677249,0.11536507936507938,0.20773544973544975,0.26379797979797975
e5-large-v2,0.16474074074074074,0.09828317460317462,0.09043724867724869,0.09037229437229438,0.11638476190476191,0.504235113035113,1.0,0.5591522847522847,0.07600000000000001,0.1307895719095719,0.12230495430495429,0.092,0.0764963924963925,0.10527272727272727,0.1582222222222222,0.09333333333333334,0.11019497835497835,0.14335392015392012
e5-small-v2,0.14901587301587302,0.10871572871572871,0.08093121693121691,0.09995959595959596,0.10596825396825399,0.35528138528138525,0.5591522847522847,1.0,0.027407407407407405,0.08573160173160174,0.10355555555555557,0.12006349206349207,0.08119576719576721,0.10405079365079364,0.14973448773448775,0.12977777777777777,0.13333333333333333,0.13733333333333334
gte-base,0.13527272727272727,0.1226868686868687,0.3285738528138528,0.1652861952861953,0.16565079365079363,0.19337854737854734,0.07600000000000001,0.027407407407407405,1.0,0.2197950937950938,0.23259821067821068,0.1072958152958153,0.07868975468975468,0.16986281866281863,0.1311168831168831,0.12133333333333333,0.12518999518999518,0.2002002501202501
gte-large,0.11166137566137566,0.35084743156276005,0.29414654574946547,0.2446460798460798,0.24990822370384413,0.11696007696007696,0.1307895719095719,0.08573160173160174,0.2197950937950938,1.0,0.49865004329004337,0.103015873015873,0.1399326599326599,0.3643386243386243,0.16014430014430014,0.0886321399606071,0.1795978835978836,0.2341269841269841
gte-small,0.12363251563251562,0.21074062530062532,0.19630591630591632,0.1501144781144781,0.30574122174122176,0.16794582010582013,0.12230495430495429,0.10355555555555557,0.23259821067821068,0.49865004329004337,1.0,0.13523809523809524,0.09605772005772006,0.23362801346801348,0.15155532467532468,0.11166522366522366,0.15873400673400673,0.14703992303992305
gtr-t5-base,0.25376046176046174,0.18078633958633958,0.11164213564213565,0.21152900432900432,0.19098243386243383,0.15149687349687346,0.092,0.12006349206349207,0.1072958152958153,0.103015873015873,0.13523809523809524,1.0,0.3799515320040868,0.18699939962713685,0.17365079365079364,0.22335930735930737,0.16524867724867726,0.18120634920634918
gtr-t5-large,0.201027417027417,0.23514285714285713,0.18490909090909088,0.25595382395382393,0.13933190957190958,0.18835978835978837,0.0764963924963925,0.08119576719576721,0.07868975468975468,0.1399326599326599,0.09605772005772006,0.3799515320040868,1.0,0.21362175105240794,0.17934872534872537,0.18773063973063972,0.17628090428090432,0.2595497835497836
