,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.7342479228973389,0.7303634285926819,0.736164927482605,0.7097936868667603,0.734583854675293,0.7218574285507202,0.6708939075469971,0.7324662208557129,0.7563315629959106,0.7139617204666138,0.6508055925369263,0.7130757570266724,0.7458106875419617,0.6810914874076843,0.7073549032211304,0.8486126661300659,0.804731547832489
UAE-Large-V1,0.7342479228973389,1.0,0.877328097820282,0.9877440333366394,0.8548005819320679,0.7455642223358154,0.7106074094772339,0.6920729875564575,0.8653405904769897,0.9373090863227844,0.8418978452682495,0.6452128291130066,0.6828859448432922,0.9933037161827087,0.7285844087600708,0.7226942181587219,0.7825098037719727,0.7845392823219299
bge-base-en-v1.5,0.7303634285926819,0.877328097820282,1.0,0.878041684627533,0.8756905198097229,0.7615372538566589,0.7045765519142151,0.6988898515701294,0.936265230178833,0.8861492872238159,0.858813464641571,0.6681481599807739,0.6957057118415833,0.888877272605896,0.7219653725624084,0.7089389562606812,0.7815667986869812,0.7928419709205627
bge-large-en-v1.5,0.736164927482605,0.9877440333366394,0.878041684627533,1.0,0.8517909049987793,0.752746045589447,0.718693733215332,0.7026872634887695,0.8471454977989197,0.9177969694137573,0.8226304054260254,0.650377094745636,0.6896024346351624,0.9791388511657715,0.7246521711349487,0.7206037044525146,0.7828071117401123,0.7871488332748413
bge-small-en-v1.5,0.7097936868667603,0.8548005819320679,0.8756905198097229,0.8517909049987793,1.0,0.7294898629188538,0.6838436126708984,0.7045005559921265,0.8733019232749939,0.8742148280143738,0.9417551755905151,0.6472079157829285,0.66713547706604,0.8682080507278442,0.7096239328384399,0.6918069124221802,0.7528408169746399,0.767191469669342
e5-base-v2,0.734583854675293,0.7455642223358154,0.7615372538566589,0.752746045589447,0.7294898629188538,1.0,0.8272543549537659,0.8069777488708496,0.7495661973953247,0.7531941533088684,0.7228580117225647,0.6459047794342041,0.6813104748725891,0.7527238726615906,0.6861667037010193,0.6818639636039734,0.7588716745376587,0.760574221611023
e5-large-v2,0.7218574285507202,0.7106074094772339,0.7045765519142151,0.718693733215332,0.6838436126708984,0.8272543549537659,1.0,0.7880995273590088,0.688145101070404,0.7101853489875793,0.6680850386619568,0.6152694225311279,0.6630358099937439,0.7158591151237488,0.6629016399383545,0.673989474773407,0.7418961524963379,0.7335466742515564
e5-small-v2,0.6708939075469971,0.6920729875564575,0.6988898515701294,0.7026872634887695,0.7045005559921265,0.8069777488708496,0.7880995273590088,1.0,0.6803523898124695,0.6907308101654053,0.6834568977355957,0.605063796043396,0.6349503993988037,0.6963441371917725,0.6519074440002441,0.643012285232544,0.6973915100097656,0.7021092772483826
gte-base,0.7324662208557129,0.8653405904769897,0.936265230178833,0.8471454977989197,0.8733019232749939,0.7495661973953247,0.688145101070404,0.6803523898124695,1.0,0.9186974763870239,0.9078322649002075,0.6536985635757446,0.6765416860580444,0.8834103345870972,0.7145217061042786,0.6965954899787903,0.7784285545349121,0.7909849882125854
gte-large,0.7563315629959106,0.9373090863227844,0.8861492872238159,0.9177969694137573,0.8742148280143738,0.7531941533088684,0.7101853489875793,0.6907308101654053,0.9186974763870239,1.0,0.9001951217651367,0.6673486828804016,0.6955659985542297,0.9514941573143005,0.7382968664169312,0.7280909419059753,0.8062050342559814,0.8150078654289246
gte-small,0.7139617204666138,0.8418978452682495,0.858813464641571,0.8226304054260254,0.9417551755905151,0.7228580117225647,0.6680850386619568,0.6834568977355957,0.9078322649002075,0.9001951217651367,1.0,0.6470917463302612,0.661378800868988,0.8609876036643982,0.7071040272712708,0.6845366954803467,0.7560391426086426,0.7720871567726135
gtr-t5-base,0.6508055925369263,0.6452128291130066,0.6681481599807739,0.650377094745636,0.6472079157829285,0.6459047794342041,0.6152694225311279,0.605063796043396,0.6536985635757446,0.6673486828804016,0.6470917463302612,1.0,0.8035200238227844,0.6496881246566772,0.7093198299407959,0.655382513999939,0.6993258595466614,0.7159823775291443
gtr-t5-large,0.7130757570266724,0.6828859448432922,0.6957057118415833,0.6896024346351624,0.66713547706604,0.6813104748725891,0.6630358099937439,0.6349503993988037,0.6765416860580444,0.6955659985542297,0.661378800868988,0.8035200238227844,1.0,0.6855891942977905,0.7218059301376343,0.756465494632721,0.7566224932670593,0.7605311870574951
