,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.11219549628218357,0.11133470932232542,0.11912084131898373,0.08575507395940832,0.1341425207059882,0.13253820826576246,0.09694874441004472,0.13662568941206713,0.12068111455108359,0.12092614643698235,0.12299081035923141,0.14718364538797973,0.12462755682569923,0.11234606123151014,0.10740773502383409,0.25448356940617,0.18200433209721134
UAE-Large-V1,0.11219549628218357,1.0,0.1974971743083198,0.5241817006522889,0.16498452012383896,0.1247093223254214,0.108170728480326,0.09801857585139319,0.21073449082737006,0.34718103705719805,0.21572324476349244,0.11519435844513243,0.11342356645762218,0.6372827172827172,0.1256621947024424,0.09429308565531475,0.14948823794025035,0.16640749687189316
bge-base-en-v1.5,0.11133470932232542,0.1974971743083198,1.0,0.17237781482363523,0.1879844785417541,0.1258720330237358,0.10840464660898098,0.09123495012039905,0.26178564813239735,0.20325850276314675,0.16494324045407635,0.10394908840729274,0.09861172539191115,0.2016752665978672,0.1065393876848985,0.07468524251805986,0.1148999950857536,0.13708369717657642
bge-large-en-v1.5,0.11912084131898373,0.5241817006522889,0.17237781482363523,1.0,0.12260405916752665,0.1316752665978672,0.0965064622340164,0.08792569659442724,0.19435942798171899,0.27809761961464746,0.17220305666126096,0.1150031942601602,0.10780265142494244,0.4944547609253491,0.11960587743869479,0.10120202466951693,0.15113322521991251,0.16625534424296035
bge-small-en-v1.5,0.08575507395940832,0.16498452012383896,0.1879844785417541,0.12260405916752665,1.0,0.09542827657378741,0.09518551280161187,0.10686618507051944,0.1361219791560349,0.1428704113224237,0.2361131335125143,0.10614723082215344,0.09778465772273823,0.15430075944007832,0.08171998624011008,0.06033367733058135,0.09915376676986584,0.09798565040051109
e5-base-v2,0.1341425207059882,0.1247093223254214,0.1258720330237358,0.1316752665978672,0.09542827657378741,1.0,0.19010614772224677,0.17974691631038378,0.14788392550002458,0.1254282765737874,0.1269315445476436,0.10456975772765245,0.09525431225121628,0.12658066735466117,0.09012383900928791,0.08341589267285862,0.1419450587252445,0.14653938768489852
e5-large-v2,0.13253820826576246,0.108170728480326,0.10840464660898098,0.0965064622340164,0.09518551280161187,0.19010614772224677,1.0,0.16378052975576193,0.10265565875472996,0.09196913853260602,0.08999803430143988,0.09725834193326455,0.10717381689517913,0.09930591939879867,0.07834537323701411,0.06195390436876504,0.11311612364243943,0.12562926925156026
e5-small-v2,0.09694874441004472,0.09801857585139319,0.09123495012039905,0.08792569659442724,0.10686618507051944,0.17974691631038378,0.16378052975576193,1.0,0.07408324733402133,0.07567939456484347,0.09408324733402135,0.073140694874441,0.07546955624355005,0.08862057103543171,0.07396628826969384,0.0650361197110423,0.07336429308565531,0.08459236326109393
gte-base,0.13662568941206713,0.21073449082737006,0.26178564813239735,0.19435942798171899,0.1361219791560349,0.14788392550002458,0.10265565875472996,0.07408324733402133,1.0,0.29461262507702135,0.23615944083436344,0.11841073271413828,0.10998968008255934,0.24556500602940232,0.11942896456828345,0.10491916064671485,0.14917244090618703,0.17868691336183595
gte-large,0.12068111455108359,0.34718103705719805,0.20325850276314675,0.27809761961464746,0.1428704113224237,0.1254282765737874,0.09196913853260602,0.07567939456484347,0.29461262507702135,1.0,0.26690954384452836,0.11666470096810654,0.10269644699985259,0.3979393808805573,0.1366887807754681,0.10218782249742002,0.16812944881056335,0.19097725459954565
