,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.1253677532054616,0.08663533041586627,0.13040362731182492,0.08789457856825271,0.13811606870289753,0.17544176500808273,0.10707513797478742,0.10615007510024288,0.1171746931671546,0.10615128854198153,0.1078847656728766,0.12012668856931373,0.1360823322387746,0.1166674627022129,0.10990476385583295,0.23004624149989555,0.1849076310054787
UAE-Large-V1,0.1253677532054616,1.0,0.14508986862459897,0.39309437199562014,0.1388547259784185,0.11067705612770172,0.12870983992798068,0.11398951915630427,0.18827117813122168,0.2839825172482475,0.20294718587654131,0.11453583641248141,0.13953108122907706,0.46684301187853555,0.15298409495565726,0.12122014825555323,0.13077358507366454,0.11624644580370452
bge-base-en-v1.5,0.08663533041586627,0.14508986862459897,1.0,0.1221306107040442,0.1440772146089767,0.11074725976121522,0.07157117602305915,0.08025605492572044,0.18311188838067496,0.15059075350091894,0.14054262727280323,0.11170185184674594,0.10423406218043293,0.1332943345960322,0.0908522457450365,0.09894761827246486,0.08268052297770685,0.09944879728689514
bge-large-en-v1.5,0.13040362731182492,0.39309437199562014,0.1221306107040442,1.0,0.11205218149702194,0.13339069998292558,0.10935274139970623,0.09015866884310843,0.16526008492883165,0.23464050849434204,0.15310274554601397,0.11110398728696033,0.11828332959346632,0.3686135059490986,0.13609992737652607,0.11258992082322573,0.15323640423263302,0.12745990202618693
bge-small-en-v1.5,0.08789457856825271,0.1388547259784185,0.1440772146089767,0.11205218149702194,1.0,0.08250148586073464,0.08423581912980799,0.10240482593443195,0.10373741286977856,0.1284337264980985,0.19037855754377958,0.11797081290211228,0.0965057270194187,0.13308851860549098,0.08568298695637276,0.06439714629297863,0.06350528111946101,0.0829237051855289
e5-base-v2,0.13811606870289753,0.11067705612770172,0.11074725976121522,0.13339069998292558,0.08250148586073464,1.0,0.15601706107094654,0.1591107798163586,0.17266822183189126,0.14083636083356407,0.1245332590318335,0.11416455175754883,0.09258022471204841,0.13598695813358078,0.10218207979051609,0.06621251802001282,0.12261438463019775,0.17439847566159142
e5-large-v2,0.17544176500808273,0.12870983992798068,0.07157117602305915,0.10935274139970623,0.08423581912980799,0.15601706107094654,1.0,0.17039323700648887,0.08733988166810418,0.12269378375552785,0.11485917088573162,0.10644758779448432,0.11431150594889171,0.12825864563889128,0.11424502494070285,0.09910597469091524,0.14532180379666154,0.132290542246557
e5-small-v2,0.10707513797478742,0.11398951915630427,0.08025605492572044,0.09015866884310843,0.10240482593443195,0.1591107798163586,0.17039323700648887,1.0,0.062440443628663765,0.08424037837943979,0.08257965848916006,0.08160614597143302,0.0737393884724163,0.09816188119441545,0.08710965577896226,0.0776369681617647,0.09310542367329554,0.09087005972538668
gte-base,0.10615007510024288,0.18827117813122168,0.18311188838067496,0.16526008492883165,0.10373741286977856,0.17266822183189126,0.08733988166810418,0.062440443628663765,1.0,0.22982840848886757,0.20602641040362582,0.13276170260254244,0.11066288131196732,0.2004020872598804,0.12116298033182242,0.09954058817837225,0.13698289262696972,0.14065357462423217
gte-large,0.1171746931671546,0.2839825172482475,0.15059075350091894,0.23464050849434204,0.1284337264980985,0.14083636083356407,0.12269378375552785,0.08424037837943979,0.22982840848886757,1.0,0.2152894572715399,0.12462592868178721,0.12644584343551138,0.31926036105193434,0.13748101263743562,0.11124665388355011,0.14807651266298483,0.14962527114247512
gte-small,0.10615128854198153,0.20294718587654131,0.14054262727280323,0.15310274554601397,0.19037855754377958,0.1245332590318335,0.11485917088573162,0.08257965848916006,0.20602641040362582,0.2152894572715399,1.0,0.11210155387009454,0.07738840562027349,0.18806361965722676,0.110131564250243,0.09447799432640178,0.10464423161850667,0.10204797799447547
gtr-t5-base,0.1078847656728766,0.11453583641248141,0.11170185184674594,0.11110398728696033,0.11797081290211228,0.11416455175754883,0.10644758779448432,0.08160614597143302,0.13276170260254244,0.12462592868178721,0.11210155387009454,1.0,0.2358327879751951,0.09113896450617083,0.1583784663668274,0.12481355481250164,0.12941739128278568,0.14036322850747915
gtr-t5-large,0.12012668856931373,0.13953108122907706,0.10423406218043293,0.11828332959346632,0.0965057270194187,0.09258022471204841,0.11431150594889171,0.0737393884724163,0.11066288131196732,0.12644584343551138,0.07738840562027349,0.2358327879751951,1.0,0.11412265084243689,0.14362762800990972,0.14867513903014784,0.15074217053055913,0.15966248319652698
mxbai-embed-large-v1,0.1360823322387746,0.46684301187853555,0.1332943345960322,0.3686135059490986,0.13308851860549098,0.13598695813358078,0.12825864563889128,0.09816188119441545,0.2004020872598804,0.31926036105193434,0.18806361965722676,0.09113896450617083,0.11412265084243689,1.0,0.13209312595267234,0.10902067820904927,0.1365661469786731,0.12781577976862696
sentence-t5-base,0.1166674627022129,0.15298409495565726,0.0908522457450365,0.13609992737652607,0.08568298695637276,0.10218207979051609,0.11424502494070285,0.08710965577896226,0.12116298033182242,0.13748101263743562,0.110131564250243,0.1583784663668274,0.14362762800990972,0.13209312595267234,1.0,0.1832001091707924,0.12923493479508452,0.10784402767229644
sentence-t5-large,0.10990476385583295,0.12122014825555323,0.09894761827246486,0.11258992082322573,0.06439714629297863,0.06621251802001282,0.09910597469091524,0.0776369681617647,0.09954058817837225,0.11124665388355011,0.09447799432640178,0.12481355481250164,0.14867513903014784,0.10902067820904927,0.1832001091707924,1.0,0.12787278786292686,0.11394290734138028
text-embedding-3-large,0.23004624149989555,0.13077358507366454,0.08268052297770685,0.15323640423263302,0.06350528111946101,0.12261438463019775,0.14532180379666154,0.09310542367329554,0.13698289262696972,0.14807651266298483,0.10464423161850667,0.12941739128278568,0.15074217053055913,0.1365661469786731,0.12923493479508452,0.12787278786292686,1.0,0.25190463179733913
text-embedding-3-small,0.1849076310054787,0.11624644580370452,0.09944879728689514,0.12745990202618693,0.0829237051855289,0.17439847566159142,0.132290542246557,0.09087005972538668,0.14065357462423217,0.14962527114247512,0.10204797799447547,0.14036322850747915,0.15966248319652698,0.12781577976862696,0.10784402767229644,0.11394290734138028,0.25190463179733913,1.0
