,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,embed-english-v3.0,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.7226848602294922,0.7519454956054688,0.7184937000274658,0.6971287131309509,0.7486485838890076,0.7623430490493774,0.71546870470047,0.7860780358314514,0.7399357557296753,0.7642218470573425,0.7052009105682373,0.6713603734970093,0.7175619602203369,0.7423621416091919,0.6871533989906311,0.7165912389755249,0.8603676557540894,0.8254562020301819
UAE-Large-V1,0.7226848602294922,1.0,0.8083815574645996,0.9852839708328247,0.7838495373725891,0.7552965879440308,0.7566516399383545,0.7013868093490601,0.7697862386703491,0.7867718935012817,0.8708854913711548,0.7573938965797424,0.5840858221054077,0.6240050196647644,0.9896810054779053,0.6719516515731812,0.6891059875488281,0.7378471493721008,0.7318993210792542
bge-base-en-v1.5,0.7519454956054688,0.8083815574645996,1.0,0.8027431964874268,0.8102836608886719,0.7964296936988831,0.7728474736213684,0.7322065234184265,0.8172922730445862,0.936048150062561,0.8712285757064819,0.8341922163963318,0.6218184232711792,0.6598746180534363,0.8369966745376587,0.6900638341903687,0.7043770551681519,0.7700372934341431,0.771213948726654
bge-large-en-v1.5,0.7184937000274658,0.9852839708328247,0.8027431964874268,1.0,0.7847251296043396,0.7623459100723267,0.7675368785858154,0.7076359391212463,0.7716546654701233,0.767028272151947,0.8525574803352356,0.7420096397399902,0.5914297699928284,0.6296188831329346,0.9741284251213074,0.6701687574386597,0.6876585483551025,0.7359479665756226,0.7333630323410034
bge-small-en-v1.5,0.6971287131309509,0.7838495373725891,0.8102836608886719,0.7847251296043396,1.0,0.7386552691459656,0.721243679523468,0.7348663806915283,0.7529182434082031,0.803034782409668,0.8040092587471008,0.8899456858634949,0.6025498509407043,0.6326915621757507,0.8062244057655334,0.6643058061599731,0.6759772896766663,0.6989732980728149,0.7104608416557312
e5-base-v2,0.7486485838890076,0.7552965879440308,0.7964296936988831,0.7623459100723267,0.7386552691459656,1.0,0.8171506524085999,0.7970397472381592,0.8076385855674744,0.7486039996147156,0.755900502204895,0.7133870720863342,0.6521118879318237,0.6850329637527466,0.768656313419342,0.6945626139640808,0.7072250247001648,0.7482415437698364,0.7667161226272583
e5-large-v2,0.7623430490493774,0.7566516399383545,0.7728474736213684,0.7675368785858154,0.721243679523468,0.8171506524085999,1.0,0.783034086227417,0.9417656064033508,0.7321051359176636,0.7676598429679871,0.7010699510574341,0.6452227234840393,0.6896269917488098,0.7674247622489929,0.7014921307563782,0.7239667773246765,0.7855701446533203,0.7842115759849548
e5-small-v2,0.71546870470047,0.7013868093490601,0.7322065234184265,0.7076359391212463,0.7348663806915283,0.7970397472381592,0.783034086227417,1.0,0.7796249389648438,0.6977789402008057,0.7173237204551697,0.7036820650100708,0.6325213313102722,0.6623047590255737,0.7156299948692322,0.6801382899284363,0.6863793134689331,0.7181407809257507,0.7311555743217468
embed-english-v3.0,0.7860780358314514,0.7697862386703491,0.8172922730445862,0.7716546654701233,0.7529182434082031,0.8076385855674744,0.9417656064033508,0.7796249389648438,1.0,0.7936238050460815,0.8172140121459961,0.7579929828643799,0.6657615303993225,0.7121355533599854,0.7893552780151367,0.7132623791694641,0.7338568568229675,0.806037425994873,0.8055525422096252
gte-base,0.7399357557296753,0.7867718935012817,0.936048150062561,0.767028272151947,0.803034782409668,0.7486039996147156,0.7321051359176636,0.6977789402008057,0.7936238050460815,1.0,0.9041154980659485,0.8853848576545715,0.5845414400100708,0.6229355335235596,0.8218148350715637,0.6730446219444275,0.6915300488471985,0.752676248550415,0.7498154044151306
gte-large,0.7642218470573425,0.8708854913711548,0.8712285757064819,0.8525574803352356,0.8040092587471008,0.755900502204895,0.7676598429679871,0.7173237204551697,0.8172140121459961,0.9041154980659485,1.0,0.869978129863739,0.5938428044319153,0.6354131102561951,0.9021285176277161,0.7023326754570007,0.7171513438224792,0.7820783853530884,0.771936297416687
gte-small,0.7052009105682373,0.7573938965797424,0.8341922163963318,0.7420096397399902,0.8899456858634949,0.7133870720863342,0.7010699510574341,0.7036820650100708,0.7579929828643799,0.8853848576545715,0.869978129863739,1.0,0.5793073773384094,0.6110541820526123,0.7947478294372559,0.6723031997680664,0.6909111142158508,0.7115089297294617,0.715111255645752
gtr-t5-base,0.6713603734970093,0.5840858221054077,0.6218184232711792,0.5914297699928284,0.6025498509407043,0.6521118879318237,0.6452227234840393,0.6325213313102722,0.6657615303993225,0.5845414400100708,0.5938428044319153,0.5793073773384094,1.0,0.7972748875617981,0.6006424427032471,0.6889930367469788,0.6443809866905212,0.649496853351593,0.6822583675384521
gtr-t5-large,0.7175619602203369,0.6240050196647644,0.6598746180534363,0.6296188831329346,0.6326915621757507,0.6850329637527466,0.6896269917488098,0.6623047590255737,0.7121355533599854,0.6229355335235596,0.6354131102561951,0.6110541820526123,0.7972748875617981,1.0,0.640893280506134,0.6720030307769775,0.7168822884559631,0.7005575895309448,0.7250191569328308
mxbai-embed-large-v1,0.7423621416091919,0.9896810054779053,0.8369966745376587,0.9741284251213074,0.8062244057655334,0.768656313419342,0.7674247622489929,0.7156299948692322,0.7893552780151367,0.8218148350715637,0.9021285176277161,0.7947478294372559,0.6006424427032471,0.640893280506134,1.0,0.6860774159431458,0.7055420279502869,0.7563115954399109,0.7540614604949951
sentence-t5-base,0.6871533989906311,0.6719516515731812,0.6900638341903687,0.6701687574386597,0.6643058061599731,0.6945626139640808,0.7014921307563782,0.6801382899284363,0.7132623791694641,0.6730446219444275,0.7023326754570007,0.6723031997680664,0.6889930367469788,0.6720030307769775,0.6860774159431458,1.0,0.8517741560935974,0.7033683657646179,0.7166890501976013
