,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,embed-english-v3.0,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.2985667404938583,0.26282720438199514,0.30621547289973877,0.1718890926205274,0.24191892195806688,0.19903625897454863,0.178146325980655,0.34971051250318297,0.2795450639188805,0.22288055943638682,0.21939911417864624,0.18954826488652807,0.2172570429789489,0.29369197147569526,0.1960217695474827,0.20710925797704036,0.38118283784488993,0.3149403418532737
UAE-Large-V1,0.2985667404938583,1.0,0.34719979726077904,0.6952837985191488,0.24846737112429107,0.23267311196052773,0.21312634011872258,0.17855462611372125,0.2843315977435497,0.33020041384245685,0.3717034621445322,0.28370913441653917,0.15509821546650973,0.18366227029627896,0.7917631708977487,0.20339434260118366,0.1987677860114105,0.2982221706332514,0.28780797120360035
bge-base-en-v1.5,0.26282720438199514,0.34719979726077904,1.0,0.30923143384515117,0.2854763696596565,0.26652266448030154,0.2359992188080588,0.20620507866742943,0.28802292364464693,0.4546990029994842,0.348178475599734,0.3210536481707894,0.1625546059424727,0.1758727509180923,0.3600484429258766,0.20654987328859714,0.1779036537284134,0.29786369903067483,0.30339654009678535
bge-large-en-v1.5,0.30621547289973877,0.6952837985191488,0.30923143384515117,1.0,0.2287933196060403,0.21704300952930614,0.1934796307135589,0.16300173150301883,0.28522039979631175,0.2890802548654101,0.30740925662192903,0.2558846477433242,0.14566298539811448,0.1795544349282558,0.6597659802042223,0.18353562804589174,0.18930837240889598,0.2822550034736349,0.26755608833018835
bge-small-en-v1.5,0.1718890926205274,0.24846737112429107,0.2854763696596565,0.2287933196060403,1.0,0.1797822768870372,0.16070710057763304,0.1737507756118095,0.1695054591343186,0.23500124748219584,0.24256231104359047,0.33089072174771544,0.122072441681643,0.12081798012684723,0.25263010931808,0.15856237600946732,0.13315668385758186,0.2056568524452015,0.22999580098664157
e5-base-v2,0.24191892195806688,0.23267311196052773,0.26652266448030154,0.21704300952930614,0.1797822768870372,1.0,0.3427569134659735,0.31445671421865934,0.3000823100558113,0.27064365937477214,0.2411722343708557,0.22754019834775596,0.15476499184352918,0.1897020644217531,0.24890779408980562,0.19079017337517493,0.19098832853479494,0.2561936275716838,0.26538890544351584
e5-large-v2,0.19903625897454863,0.21312634011872258,0.2359992188080588,0.1934796307135589,0.16070710057763304,0.3427569134659735,1.0,0.2990456614724675,0.29818732965486483,0.24804866821733093,0.24421401926992078,0.21226839148699117,0.14494929055685196,0.18287958890393052,0.22615432032893035,0.19336684869245027,0.16734135192137947,0.25262966119352354,0.2655212227513141
e5-small-v2,0.178146325980655,0.17855462611372125,0.20620507866742943,0.16300173150301883,0.1737507756118095,0.31445671421865934,0.2990456614724675,1.0,0.22437234290586963,0.2009983437867465,0.21471365447679538,0.2010433121409811,0.14386590735291585,0.16985572605915955,0.18553054734289134,0.1726451841300084,0.15431842904043014,0.20780112067537299,0.24576583165090665
embed-english-v3.0,0.34971051250318297,0.2843315977435497,0.28802292364464693,0.28522039979631175,0.1695054591343186,0.3000823100558113,0.29818732965486483,0.22437234290586963,1.0,0.3126232516475536,0.24119108848009815,0.2406417667597543,0.20494665898203648,0.2554651087410476,0.2965345864389222,0.22330651342536836,0.233519526693009,0.330203141530768,0.31128596019131527
gte-base,0.2795450639188805,0.33020041384245685,0.4546990029994842,0.2890802548654101,0.23500124748219584,0.27064365937477214,0.24804866821733093,0.2009983437867465,0.3126232516475536,1.0,0.42117191425381345,0.3803730539731,0.15953275173916828,0.17617409272019047,0.35536448005360877,0.21865600757110765,0.20697889314523832,0.2938017858295073,0.29583445659492547
gte-large,0.22288055943638682,0.3717034621445322,0.348178475599734,0.30740925662192903,0.24256231104359047,0.2411722343708557,0.24421401926992078,0.21471365447679538,0.24119108848009815,0.42117191425381345,1.0,0.35857499465717274,0.14170779808891298,0.16136452355797384,0.41343509091899533,0.1945443519821752,0.17776956886812603,0.29601189218983753,0.3105521617944293
gte-small,0.21939911417864624,0.28370913441653917,0.3210536481707894,0.2558846477433242,0.33089072174771544,0.22754019834775596,0.21226839148699117,0.2010433121409811,0.2406417667597543,0.3803730539731,0.35857499465717274,1.0,0.13709832096350852,0.15032651458635007,0.3082826051393274,0.19536378150223413,0.1746875719369026,0.2621047634471958,0.2690522797834323
