,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,embed-english-v3.0,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.205550905814023,0.23088921249004296,0.21449771052253047,0.17953524648786537,0.25183080878210223,0.16795536281528972,0.15928322203452822,0.2945021821825219,0.2022585220871192,0.20730303116705243,0.1762979043062608,0.18471689628996324,0.2176789200966865,0.20805267044952938,0.16775522513312388,0.18303104603559028,0.2764008915351044,0.25446130033139136
UAE-Large-V1,0.205550905814023,1.0,0.2910128611185551,0.4160994016437261,0.22010156005514173,0.22072701677045564,0.18488167980590783,0.1669500078893928,0.18434404489044606,0.25136963632124765,0.26688079778851,0.2448379092012823,0.14846343967634615,0.16137027650797775,0.5153570123003955,0.14341913717739402,0.16294227045196916,0.20307317790848944,0.19097785804134543
bge-base-en-v1.5,0.23088921249004296,0.2910128611185551,1.0,0.2569908246820747,0.24497135269170056,0.25307615917560705,0.20268112711183428,0.18807620221545338,0.22728671546494217,0.28640337418360395,0.2562385502019584,0.24052864421816572,0.1746434916879302,0.1816772236394614,0.2914836478648971,0.2043912736281903,0.17233672647980003,0.22733306892986258,0.22345840004115206
bge-large-en-v1.5,0.21449771052253047,0.4160994016437261,0.2569908246820747,1.0,0.20422283122896595,0.21361174342612854,0.18737140887692008,0.16057739847962246,0.19989351217975776,0.22658009992786599,0.23127763956992145,0.22037588617067083,0.15625230978863783,0.16610177711493523,0.38439673707561584,0.15066523762403927,0.1611775709576522,0.19687724148585167,0.18845753423794165
bge-small-en-v1.5,0.17953524648786537,0.22010156005514173,0.24497135269170056,0.20422283122896595,1.0,0.20229202123891366,0.15145673019880615,0.16307058793468948,0.15204490571496065,0.17879771663747873,0.20177595453588545,0.2068771129717557,0.14097458939364327,0.15562615319741593,0.22668926938569217,0.14281134087881006,0.13398810146311246,0.1548298797565155,0.14163428300653164
e5-base-v2,0.25183080878210223,0.22072701677045564,0.25307615917560705,0.21361174342612854,0.20229202123891366,1.0,0.25025576247684855,0.24366173235677963,0.26092404997983026,0.20807843359286385,0.19363488625830505,0.21367724498433077,0.1665113272815225,0.1982458568933041,0.24155401706310486,0.19589976779034335,0.20634465171419855,0.2351850748218731,0.24403792828405915
e5-large-v2,0.16795536281528972,0.18488167980590783,0.20268112711183428,0.18737140887692008,0.15145673019880615,0.25025576247684855,1.0,0.22376785451373923,0.2138645559324405,0.1967557771426028,0.1652207079119469,0.18827357961249888,0.12501251738804003,0.16182414617462587,0.19378122965823047,0.14385957359586923,0.15745730877299585,0.2216254216309756,0.2081402815365661
e5-small-v2,0.15928322203452822,0.1669500078893928,0.18807620221545338,0.16057739847962246,0.16307058793468948,0.24366173235677963,0.22376785451373923,1.0,0.19519556995985504,0.14542844205486097,0.15669297125756462,0.14732445625702228,0.11628756603436072,0.14869781775369978,0.17880608469360848,0.14698929324382226,0.1481819577469979,0.20153645103512233,0.1941762919046216
embed-english-v3.0,0.2945021821825219,0.18434404489044606,0.22728671546494217,0.19989351217975776,0.15204490571496065,0.26092404997983026,0.2138645559324405,0.19519556995985504,1.0,0.22985721252983524,0.17010467848099545,0.17752427198827805,0.17948765731336994,0.19813001667283267,0.18211845273647265,0.17319749810012033,0.19887009013994883,0.30782946125102967,0.24976860331753786
gte-base,0.2022585220871192,0.25136963632124765,0.28640337418360395,0.22658009992786599,0.17879771663747873,0.20807843359286385,0.1967557771426028,0.14542844205486097,0.22985721252983524,1.0,0.2654233136693175,0.27337510081612193,0.14645220327544997,0.17131699069542036,0.2659037904979386,0.16331608214982668,0.1777305753751746,0.21253565210058475,0.20345069298569066
gte-large,0.20730303116705243,0.26688079778851,0.2562385502019584,0.23127763956992145,0.20177595453588545,0.19363488625830505,0.1652207079119469,0.15669297125756462,0.17010467848099545,0.2654233136693175,1.0,0.2542150977426357,0.14418489206248541,0.16323011215958572,0.2946027416659873,0.1819852431915314,0.13025248067481418,0.20304015768298583,0.18097863019642915
gte-small,0.1762979043062608,0.2448379092012823,0.24052864421816572,0.22037588617067083,0.2068771129717557,0.21367724498433077,0.18827357961249888,0.14732445625702228,0.17752427198827805,0.27337510081612193,0.2542150977426357,1.0,0.13689546250368356,0.17545183887874496,0.24793488261098567,0.1720502367266257,0.15852304276067075,0.17207188225001835,0.17444046204240268
gtr-t5-base,0.18471689628996324,0.14846343967634615,0.1746434916879302,0.15625230978863783,0.14097458939364327,0.1665113272815225,0.12501251738804003,0.11628756603436072,0.17948765731336994,0.14645220327544997,0.14418489206248541,0.13689546250368356,1.0,0.246988022931978,0.147095633286991,0.17589401957050627,0.15907496708996585,0.17090510706987813,0.17447998529037356
gtr-t5-large,0.2176789200966865,0.16137027650797775,0.1816772236394614,0.16610177711493523,0.15562615319741593,0.1982458568933041,0.16182414617462587,0.14869781775369978,0.19813001667283267,0.17131699069542036,0.16323011215958572,0.17545183887874496,0.246988022931978,1.0,0.18183163063782665,0.1910453020510313,0.18829175569982415,0.19289152882540242,0.22054587625042232
mxbai-embed-large-v1,0.20805267044952938,0.5153570123003955,0.2914836478648971,0.38439673707561584,0.22668926938569217,0.24155401706310486,0.19378122965823047,0.17880608469360848,0.18211845273647265,0.2659037904979386,0.2946027416659873,0.24793488261098567,0.147095633286991,0.18183163063782665,1.0,0.15516365096059023,0.1570543535285278,0.2039823027492368,0.20699402554765634
sentence-t5-base,0.16775522513312388,0.14341913717739402,0.2043912736281903,0.15066523762403927,0.14281134087881006,0.19589976779034335,0.14385957359586923,0.14698929324382226,0.17319749810012033,0.16331608214982668,0.1819852431915314,0.1720502367266257,0.17589401957050627,0.1910453020510313,0.15516365096059023,1.0,0.25420756948770745,0.17292854794442722,0.19272783882977354
sentence-t5-large,0.18303104603559028,0.16294227045196916,0.17233672647980003,0.1611775709576522,0.13398810146311246,0.20634465171419855,0.15745730877299585,0.1481819577469979,0.19887009013994883,0.1777305753751746,0.13025248067481418,0.15852304276067075,0.15907496708996585,0.18829175569982415,0.1570543535285278,0.25420756948770745,1.0,0.2162256535416361,0.1892229700712421
text-embedding-3-large,0.2764008915351044,0.20307317790848944,0.22733306892986258,0.19687724148585167,0.1548298797565155,0.2351850748218731,0.2216254216309756,0.20153645103512233,0.30782946125102967,0.21253565210058475,0.20304015768298583,0.17207188225001835,0.17090510706987813,0.19289152882540242,0.2039823027492368,0.17292854794442722,0.2162256535416361,1.0,0.3018649404732238
text-embedding-3-small,0.25446130033139136,0.19097785804134543,0.22345840004115206,0.18845753423794165,0.14163428300653164,0.24403792828405915,0.2081402815365661,0.1941762919046216,0.24976860331753786,0.20345069298569066,0.18097863019642915,0.17444046204240268,0.17447998529037356,0.22054587625042232,0.20699402554765634,0.19272783882977354,0.1892229700712421,0.3018649404732238,1.0
