,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,embed-english-v3.0,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.7875335216522217,0.802463710308075,0.7922055125236511,0.7777363657951355,0.788719892501831,0.7885676026344299,0.7534419894218445,0.8060855865478516,0.7910453081130981,0.8057381510734558,0.7838884592056274,0.6584587693214417,0.7064473628997803,0.8018972873687744,0.7155903577804565,0.7421140074729919,0.8785257339477539,0.8541139364242554
UAE-Large-V1,0.7875335216522217,1.0,0.8632667660713196,0.9906173944473267,0.8485642075538635,0.7883166074752808,0.790105938911438,0.7479933500289917,0.8120272755622864,0.848577082157135,0.9104298949241638,0.8478773832321167,0.5856971740722656,0.6273860335350037,0.9913378357887268,0.7098056077957153,0.7263386845588684,0.7924626469612122,0.7931054830551147
bge-base-en-v1.5,0.802463710308075,0.8632667660713196,1.0,0.8648456335067749,0.8698166012763977,0.8128395080566406,0.7946200370788574,0.7605655193328857,0.8381512761116028,0.9553921222686768,0.9033758044242859,0.8944535255432129,0.5952686667442322,0.6358083486557007,0.8849706649780273,0.7170794010162354,0.7308462262153625,0.8123148083686829,0.8172044157981873
bge-large-en-v1.5,0.7922055125236511,0.9906173944473267,0.8648456335067749,1.0,0.8585653305053711,0.7972416877746582,0.7996145486831665,0.7572143077850342,0.8154873847961426,0.8394195437431335,0.9017659425735474,0.8474351763725281,0.5976632833480835,0.6393481492996216,0.9844498634338379,0.7152596712112427,0.7331080436706543,0.7953802943229675,0.7976376414299011
bge-small-en-v1.5,0.7777363657951355,0.8485642075538635,0.8698166012763977,0.8585653305053711,1.0,0.7858140468597412,0.7657018899917603,0.7824807167053223,0.7964293956756592,0.8458231091499329,0.8585619330406189,0.9292652010917664,0.6083292365074158,0.6458435654640198,0.874308168888092,0.72826087474823,0.7401431202888489,0.775136411190033,0.7879111170768738
e5-base-v2,0.788719892501831,0.7883166074752808,0.8128395080566406,0.7972416877746582,0.7858140468597412,1.0,0.8290534615516663,0.8170326352119446,0.8309653997421265,0.7815009355545044,0.7872508764266968,0.7755366563796997,0.6426624655723572,0.6837570071220398,0.7983288764953613,0.7259719967842102,0.7423375844955444,0.7874854207038879,0.798809826374054
e5-large-v2,0.7885676026344299,0.790105938911438,0.7946200370788574,0.7996145486831665,0.7657018899917603,0.8290534615516663,1.0,0.7934477925300598,0.9483770132064819,0.770889401435852,0.7950189113616943,0.759678840637207,0.61710125207901,0.6644507646560669,0.7953757643699646,0.7139950394630432,0.739513099193573,0.8057068586349487,0.8048964738845825
e5-small-v2,0.7534419894218445,0.7479933500289917,0.7605655193328857,0.7572143077850342,0.7824807167053223,0.8170326352119446,0.7934477925300598,1.0,0.7968398332595825,0.7370776534080505,0.7561835050582886,0.7617784738540649,0.6201801300048828,0.6572189927101135,0.7597779035568237,0.7118058800697327,0.7233982086181641,0.7554183602333069,0.7660109400749207
embed-english-v3.0,0.8060855865478516,0.8120272755622864,0.8381512761116028,0.8154873847961426,0.7964293956756592,0.8309653997421265,0.9483770132064819,0.7968398332595825,1.0,0.8294870853424072,0.8444323539733887,0.8089117407798767,0.6300358772277832,0.6800053715705872,0.8229332566261292,0.7237762808799744,0.7485336065292358,0.8268353343009949,0.8302295207977295
gte-base,0.7910453081130981,0.848577082157135,0.9553921222686768,0.8394195437431335,0.8458231091499329,0.7815009355545044,0.770889401435852,0.7370776534080505,0.8294870853424072,1.0,0.9278456568717957,0.907279908657074,0.5616363286972046,0.6039566993713379,0.8722294569015503,0.7034873366355896,0.7207077741622925,0.8072642087936401,0.8046272993087769
gte-large,0.8057381510734558,0.9104298949241638,0.9033758044242859,0.9017659425735474,0.8585619330406189,0.7872508764266968,0.7950189113616943,0.7561835050582886,0.8444323539733887,0.9278456568717957,1.0,0.9099850654602051,0.5775731205940247,0.6221568584442139,0.9307447671890259,0.7264435887336731,0.7434802055358887,0.825883150100708,0.8186529874801636
gte-small,0.7838884592056274,0.8478773832321167,0.8944535255432129,0.8474351763725281,0.9292652010917664,0.7755366563796997,0.759678840637207,0.7617784738540649,0.8089117407798767,0.907279908657074,0.9099850654602051,1.0,0.58343106508255,0.6197293996810913,0.8793132305145264,0.7338767051696777,0.7447348237037659,0.7866353392601013,0.7961102724075317
gtr-t5-base,0.6584587693214417,0.5856971740722656,0.5952686667442322,0.5976632833480835,0.6083292365074158,0.6426624655723572,0.61710125207901,0.6201801300048828,0.6300358772277832,0.5616363286972046,0.5775731205940247,0.58343106508255,1.0,0.786317765712738,0.5980896949768066,0.6913068294525146,0.6454906463623047,0.6452202796936035,0.6750409603118896
gtr-t5-large,0.7064473628997803,0.6273860335350037,0.6358083486557007,0.6393481492996216,0.6458435654640198,0.6837570071220398,0.6644507646560669,0.6572189927101135,0.6800053715705872,0.6039566993713379,0.6221568584442139,0.6197293996810913,0.786317765712738,1.0,0.6401089429855347,0.6811324954032898,0.7225512266159058,0.6953195333480835,0.722802460193634
mxbai-embed-large-v1,0.8018972873687744,0.9913378357887268,0.8849706649780273,0.9844498634338379,0.874308168888092,0.7983288764953613,0.7953757643699646,0.7597779035568237,0.8229332566261292,0.8722294569015503,0.9307447671890259,0.8793132305145264,0.5980896949768066,0.6401089429855347,1.0,0.7243652939796448,0.7430121898651123,0.8046199679374695,0.8075485825538635
sentence-t5-base,0.7155903577804565,0.7098056077957153,0.7170794010162354,0.7152596712112427,0.72826087474823,0.7259719967842102,0.7139950394630432,0.7118058800697327,0.7237762808799744,0.7034873366355896,0.7264435887336731,0.7338767051696777,0.6913068294525146,0.6811324954032898,0.7243652939796448,1.0,0.8703367114067078,0.7337732315063477,0.7507444620132446
sentence-t5-large,0.7421140074729919,0.7263386845588684,0.7308462262153625,0.7331080436706543,0.7401431202888489,0.7423375844955444,0.739513099193573,0.7233982086181641,0.7485336065292358,0.7207077741622925,0.7434802055358887,0.7447348237037659,0.6454906463623047,0.7225512266159058,0.7430121898651123,0.8703367114067078,1.0,0.7611628770828247,0.774623692035675
text-embedding-3-large,0.8785257339477539,0.7924626469612122,0.8123148083686829,0.7953802943229675,0.775136411190033,0.7874854207038879,0.8057068586349487,0.7554183602333069,0.8268353343009949,0.8072642087936401,0.825883150100708,0.7866353392601013,0.6452202796936035,0.6953195333480835,0.8046199679374695,0.7337732315063477,0.7611628770828247,1.0,0.8964579701423645
text-embedding-3-small,0.8541139364242554,0.7931054830551147,0.8172044157981873,0.7976376414299011,0.7879111170768738,0.798809826374054,0.8048964738845825,0.7660109400749207,0.8302295207977295,0.8046272993087769,0.8186529874801636,0.7961102724075317,0.6750409603118896,0.722802460193634,0.8075485825538635,0.7507444620132446,0.774623692035675,0.8964579701423645,1.0
