,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,embed-english-v3.0,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.28872871882159806,0.3210772371763084,0.2979120844755519,0.2080659794282085,0.28587507092151054,0.23979399341628443,0.1872401386023677,0.3383540642364171,0.32014137565221157,0.2627557547371789,0.24373338735567837,0.21852867462774583,0.27658801810504596,0.3030913977663204,0.12772617819057447,0.15943123268200668,0.4725121765059845,0.37678579418517494
UAE-Large-V1,0.28872871882159806,1.0,0.3631375160786925,0.591914751914752,0.23399135092633547,0.2701595583638927,0.22957525446689533,0.1894787668471879,0.35341114681671953,0.34909838355658784,0.3581006231470628,0.2834594954409196,0.18236356350907434,0.21477025898078528,0.7582284382284381,0.12329008796501055,0.1442424689173915,0.31214357366060147,0.2937962347250273
bge-base-en-v1.5,0.3210772371763084,0.3631375160786925,1.0,0.3299408743990787,0.25683435587460357,0.2797239671233479,0.24134536602028858,0.18568098224444973,0.366706788223816,0.43847662141779786,0.30480272737238684,0.2943853188435232,0.17838166305658568,0.19990133705303983,0.3523316552728318,0.13053123003587397,0.12413976116762494,0.32430128523007773,0.33779862036827984
bge-large-en-v1.5,0.2979120844755519,0.591914751914752,0.3299408743990787,1.0,0.2390477324533052,0.2283195511059288,0.2156206469828761,0.15678441957079728,0.34582141628581253,0.34679488725928354,0.30856114301934734,0.2523390266424322,0.18033477358554756,0.1959067351637011,0.5898601398601399,0.10317312890068309,0.1291635952626665,0.2969996979284905,0.29806242605004213
bge-small-en-v1.5,0.2080659794282085,0.23399135092633547,0.25683435587460357,0.2390477324533052,1.0,0.18980089741699652,0.16562397698620607,0.12788668503838785,0.2557913637789799,0.2468121077409003,0.21121068130356058,0.25952343150485563,0.13064278342916114,0.15802723248543682,0.2501681806325769,0.09678166003243403,0.10309744950611822,0.23283268503082744,0.20385042546033258
e5-base-v2,0.28587507092151054,0.2701595583638927,0.2797239671233479,0.2283195511059288,0.18980089741699652,1.0,0.3423248303124464,0.24330830504205117,0.3363954346307287,0.269584155094991,0.2605117208213183,0.2497656248120644,0.18171272827619578,0.23192655297918457,0.26723478791590244,0.12225318197454421,0.13952282667452948,0.2947956584179494,0.32058464067751996
e5-large-v2,0.23979399341628443,0.22957525446689533,0.24134536602028858,0.2156206469828761,0.16562397698620607,0.3423248303124464,1.0,0.23614723082215341,0.3013565347621075,0.22450118165288444,0.24367521023867775,0.21902209933169686,0.14898139012690095,0.16672673387843667,0.24612269395551128,0.10008255933952528,0.128687404786476,0.23156000518229622,0.2460472035704234
e5-small-v2,0.1872401386023677,0.1894787668471879,0.18568098224444973,0.15678441957079728,0.12788668503838785,0.24330830504205117,0.23614723082215341,1.0,0.1930556784117156,0.1690225563909774,0.18431310004065424,0.15809018982393597,0.1335103596094308,0.14407716122886402,0.18530952020116107,0.09952184382524938,0.1030232443854735,0.2213866456900513,0.21113898829069103
embed-english-v3.0,0.3383540642364171,0.35341114681671953,0.366706788223816,0.34582141628581253,0.2557913637789799,0.3363954346307287,0.3013565347621075,0.1930556784117156,1.0,0.3001600497885327,0.2881437344904837,0.26270630985801263,0.21268162865686085,0.22805486567096472,0.36986666927843403,0.12269693842449261,0.14181040837387587,0.33011827869413,0.36399135092633544
gte-base,0.32014137565221157,0.34909838355658784,0.43847662141779786,0.34679488725928354,0.2468121077409003,0.269584155094991,0.22450118165288444,0.1690225563909774,0.3001600497885327,1.0,0.42875124875124876,0.38201086495204145,0.16389317940401532,0.21359390179823617,0.3710454079803924,0.11530247186593937,0.14141118255669338,0.3292315012129254,0.3257255472425751
gte-large,0.2627557547371789,0.3581006231470628,0.30480272737238684,0.30856114301934734,0.21121068130356058,0.2605117208213183,0.24367521023867775,0.18431310004065424,0.2881437344904837,0.42875124875124876,1.0,0.3843210212560058,0.16859452552951004,0.19810493256313688,0.407666695189915,0.10137598899208805,0.11892967713401151,0.2937485871541599,0.28055651606735194
gte-small,0.24373338735567837,0.2834594954409196,0.2943853188435232,0.2523390266424322,0.25952343150485563,0.2497656248120644,0.21902209933169686,0.15809018982393597,0.26270630985801263,0.38201086495204145,0.3843210212560058,1.0,0.16592314118629908,0.18989727163101777,0.32298079285695386,0.08595459236326108,0.11209445181581405,0.2471100450976612,0.2299722121703546
