,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,embed-english-v3.0,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.42991355187830366,0.4101414705853647,0.4888500474334365,0.35428577101304753,0.5471539462514666,0.37894808271111413,0.2933909217859891,0.5442810632414828,0.35041121108287065,0.2949303668878845,0.28968954985304246,0.3782542121032172,0.3332341474220017,0.450273994364792,0.27770487207730754,0.30177861859519717,0.5457520667889341,0.534694102996872
UAE-Large-V1,0.42991355187830366,1.0,0.4840549703191101,0.5744264063229272,0.3218792699847692,0.4172326372299181,0.35602646081157246,0.2837410435690932,0.4498880161768443,0.40804118164802083,0.4049148222988457,0.31486536320864844,0.3331159618343976,0.31923736362085814,0.74260089596442,0.28339578782042907,0.27628003312122734,0.4930853787991494,0.3925772850964666
bge-base-en-v1.5,0.4101414705853647,0.4840549703191101,1.0,0.44754918906100755,0.43222076978299595,0.45567383337140477,0.3879743093791017,0.3371843992169569,0.44974210397247094,0.49153745583501623,0.3765751476712442,0.3437324406913639,0.34413223945508137,0.2900911244201331,0.4697194378960624,0.3433241824114733,0.27494610973461936,0.4268089200167028,0.3203213648937483
bge-large-en-v1.5,0.4888500474334365,0.5744264063229272,0.44754918906100755,1.0,0.33223704476667265,0.47530627306421563,0.37606263423505193,0.2642291519489854,0.4497262411497263,0.3975701624974118,0.3461835204987317,0.32893702364627275,0.36577524142988294,0.324944852831639,0.5834176768717552,0.32336697645383905,0.30318633016704283,0.4137250117253094,0.45034227669207694
bge-small-en-v1.5,0.35428577101304753,0.3218792699847692,0.43222076978299595,0.33223704476667265,1.0,0.4058019747391512,0.3313560317318533,0.29392670221895734,0.39296503011853096,0.3342984504828129,0.30586489631147434,0.48046843593356015,0.2766315982509165,0.2345871582170348,0.33557976252048916,0.23575930117901975,0.2965972760800945,0.3565115645866363,0.36897726460081626
e5-base-v2,0.5471539462514666,0.4172326372299181,0.45567383337140477,0.47530627306421563,0.4058019747391512,1.0,0.4005179721388698,0.36502213663485705,0.5350079830437049,0.40060706640446525,0.32536966794794514,0.4024911732791076,0.3632798599525882,0.33175951048294494,0.4654398856387145,0.3273959990733248,0.3195627694405113,0.5172866813440735,0.4610956970108979
e5-large-v2,0.37894808271111413,0.35602646081157246,0.3879743093791017,0.37606263423505193,0.3313560317318533,0.4005179721388698,1.0,0.3352573413834938,0.4832032652774735,0.3127382924286919,0.2802073318105524,0.2725567601848174,0.3389799281426752,0.24359771711035616,0.4139806576112371,0.2647422127833302,0.2558327369093563,0.4450483036843184,0.3860062730363476
e5-small-v2,0.2933909217859891,0.2837410435690932,0.3371843992169569,0.2642291519489854,0.29392670221895734,0.36502213663485705,0.3352573413834938,1.0,0.3514614675378215,0.28608449125018715,0.1781035567530022,0.20950505724320223,0.2576183045525074,0.2829493833849377,0.33480763483802195,0.2940286234258902,0.2397743164628664,0.4532453181889056,0.3273232451587017
embed-english-v3.0,0.5442810632414828,0.4498880161768443,0.44974210397247094,0.4497262411497263,0.39296503011853096,0.5350079830437049,0.4832032652774735,0.3514614675378215,1.0,0.3954087410358174,0.3481597259577153,0.35661433445348356,0.3913803592573445,0.3517269134977479,0.4639619361590716,0.32095928633970955,0.3194085148282233,0.5212438867880365,0.5001740145404707
gte-base,0.35041121108287065,0.40804118164802083,0.49153745583501623,0.3975701624974118,0.3342984504828129,0.40060706640446525,0.3127382924286919,0.28608449125018715,0.3954087410358174,1.0,0.49736988635356544,0.3836038961940184,0.3053043864826416,0.25601440642301654,0.4425770427776429,0.28243091507773604,0.26755058885692384,0.38147181993553375,0.34024918518546976
